test_id,strategy,k,question,http_status,confiabilidade,tempo_processamento,retrieval_time,llm_time,llm_model,documents_retrieved,evidence_target_present,top_evidence_source,top_evidence_page,top_evidence_score
12,hybrid,5,O que é o Produto D?,200,BAIXA,0.9739425182342529,0.006125688552856445,0.9678168296813965,qwen2.5:7b,5,,Pontos Principais Discutidos.pdf,1,0.9497
12,hybrid_rerank,5,O que é o Produto D?,200,ALTA,1.6775805950164795,0.02965688705444336,1.6479237079620361,qwen2.5:7b,5,,Pontos Principais Discutidos.pdf,3,0.3504
13,bm25_only,5,O que é o Produto C e sua periodicidade?,200,INSUFICIENTE,1.979011058807373,0.0009927749633789062,1.9780182838439941,qwen2.5:7b,5,,Fluxo Operacional CORODGEFOP – Medida Cautelar deContratação de Verificadores.pdf,2,0.2929
13,vector_only,5,O que é o Produto C e sua periodicidade?,200,ALTA,1.4088776111602783,0.009377241134643555,1.3995003700256348,qwen2.5:7b,5,,Pontos Principais Discutidos.pdf,3,0.8649
13,hybrid,5,O que é o Produto C e sua periodicidade?,200,MÉDIA,1.869657278060913,0.00760197639465332,1.8620553016662598,qwen2.5:7b,5,,Fluxo Operacional CORODGEFOP – Medida Cautelar deContratação de Verificadores.pdf,2,0.9654
13,hybrid_rerank,5,O que é o Produto C e sua periodicidade?,200,ALTA,1.6759757995605469,0.019736051559448242,1.6562397480010986,qwen2.5:7b,5,,Pontos Principais Discutidos.pdf,1,0.3647
14,bm25_only,5,O que é o Produto E no modelo double check?,200,MÉDIA,1.7483327388763428,0.0,1.7483327388763428,qwen2.5:7b,5,,Termo de Referência para contratação de Verificadores.pdf,8,0.2623
14,vector_only,5,O que é o Produto E no modelo double check?,200,ALTA,2.1987576484680176,0.009504318237304688,2.18825364112854,qwen2.5:7b,5,,Termo de Referência para contratação de Verificadores.pdf,17,0.9274
14,hybrid,5,O que é o Produto E no modelo double check?,200,ALTA,3.702873706817627,0.010947942733764648,3.6919257640838623,qwen2.5:7b,5,,Termo de Referência para contratação de Verificadores.pdf,8,0.5411
14,hybrid_rerank,5,O que é o Produto E no modelo double check?,200,MÉDIA,1.6813924312591553,0.031180143356323242,1.6496808528900146,qwen2.5:7b,5,,Termo de Referência para contratação de Verificadores.pdf,17,0.3239
15,bm25_only,5,Qual o prazo do Produto Z?,200,INSUFICIENTE,1.4049277305603027,0.0,1.4049277305603027,qwen2.5:7b,5,,Fluxo Operacional CORODGEFOP – Medida Cautelar deContratação de Verificadores.pdf,6,0.3102
15,vector_only,5,Qual o prazo do Produto Z?,200,INSUFICIENTE,1.4469425678253174,0.015820980072021484,1.431121587753296,qwen2.5:7b,5,,Reunião de kick off IMTRAFF - Ecoriominas e Ecoponte.pdf,3,0.5803
15,hybrid,5,Qual o prazo do Produto Z?,200,INSUFICIENTE,1.1147913932800293,0.006010293960571289,1.108781099319458,qwen2.5:7b,5,,Fluxo Operacional CORODGEFOP – Medida Cautelar deContratação de Verificadores.pdf,6,0.4526
15,hybrid_rerank,5,Qual o prazo do Produto Z?,200,INSUFICIENTE,1.6561250686645508,0.03150534629821777,1.624619722366333,qwen2.5:7b,5,,Pontos Principais Discutidos.pdf,4,0.3033
16,bm25_only,5,Qual a data de início das atividades em campo?,200,MÉDIA,0.8492257595062256,0.0009686946868896484,0.8482570648193359,qwen2.5:7b,5,,Pontos Principais Discutidos.pdf,4,0.2606
16,vector_only,5,Qual a data de início das atividades em campo?,200,MÉDIA,1.2735095024108887,0.01011204719543457,1.263397455215454,qwen2.5:7b,5,,Termo de Referência para contratação de Verificadores.pdf,15,0.7071
16,hybrid,5,Qual a data de início das atividades em campo?,200,BAIXA,1.1472411155700684,0.006718158721923828,1.1405229568481445,qwen2.5:7b,5,,Pontos Principais Discutidos.pdf,4,0.9126
16,hybrid_rerank,5,Qual a data de início das atividades em campo?,200,ALTA,2.353105068206787,0.03661680221557617,2.315886974334717,qwen2.5:7b,5,,Apresentação Reunião de Kick-off.pdf,9,0.3637
17,bm25_only,5,Quem é responsável por apresentar plano de trabalho detalhado?,200,MÉDIA,1.198143720626831,0.0009987354278564453,1.1971449851989746,qwen2.5:7b,5,,Pontos Principais Discutidos.pdf,5,0.2698
17,vector_only,5,Quem é responsável por apresentar plano de trabalho detalhado?,200,BAIXA,0.867781400680542,0.005727529525756836,0.8620538711547852,qwen2.5:7b,5,,Pontos Principais Discutidos.pdf,4,0.7476
17,hybrid,5,Quem é responsável por apresentar plano de trabalho detalhado?,200,MÉDIA,1.0323731899261475,0.011201858520507812,1.0211713314056396,qwen2.5:7b,5,,Pontos Principais Discutidos.pdf,5,1.0
17,hybrid_rerank,5,Quem é responsável por apresentar plano de trabalho detalhado?,200,BAIXA,1.2696824073791504,0.035265207290649414,1.2338223457336426,qwen2.5:7b,5,,Termo de Referência para contratação de Verificadores.pdf,3,0.4792
18,bm25_only,5,Existe reunião mensal de acompanhamento? Qual formato?,200,ALTA,1.9091761112213135,0.0009982585906982422,1.9081778526306152,qwen2.5:7b,5,,Pontos Principais Discutidos.pdf,2,0.3095
18,vector_only,5,Existe reunião mensal de acompanhamento? Qual formato?,200,MÉDIA,0.9751195907592773,0.005270719528198242,0.9692974090576172,qwen2.5:7b,5,,Pontos Principais Discutidos.pdf,5,0.7664
18,hybrid,5,Existe reunião mensal de acompanhamento? Qual formato?,200,MÉDIA,0.9602921009063721,0.004814624786376953,0.9554774761199951,qwen2.5:7b,5,,Pontos Principais Discutidos.pdf,4,0.5598
18,hybrid_rerank,5,Existe reunião mensal de acompanhamento? Qual formato?,200,BAIXA,1.5288059711456299,0.029135465621948242,1.4996705055236816,qwen2.5:7b,5,,Pontos Principais Discutidos.pdf,5,0.4565
19,bm25_only,5,Quais produtos são acompanhados inicialmente na medida cautelar?,200,INSUFICIENTE,1.7013883590698242,0.001394510269165039,1.6999938488006592,qwen2.5:7b,5,,Fluxo Operacional CORODGEFOP – Medida Cautelar deContratação de Verificadores.pdf,6,0.3039
19,vector_only,5,Quais produtos são acompanhados inicialmente na medida cautelar?,200,INSUFICIENTE,1.5557520389556885,0.008730411529541016,1.5470216274261475,qwen2.5:7b,5,,Pontos Principais Discutidos.pdf,5,0.8069
19,hybrid,5,Quais produtos são acompanhados inicialmente na medida cautelar?,200,MÉDIA,1.3060383796691895,0.005181550979614258,1.3008568286895752,qwen2.5:7b,5,,Termo de Referência para contratação de Verificadores.pdf,7,0.8864
19,hybrid_rerank,5,Quais produtos são acompanhados inicialmente na medida cautelar?,200,MÉDIA,2.542083263397217,0.031766414642333984,2.510316848754883,qwen2.5:7b,5,,Termo de Referência para contratação de Verificadores.pdf,6,0.3921
20,bm25_only,5,Quais unidades da ANTT participam das manifestações pós-entrega do relatório?,200,ALTA,2.31506085395813,0.0010023117065429688,2.314058542251587,qwen2.5:7b,5,,Fluxo Operacional CORODGEFOP – Medida Cautelar deContratação de Verificadores.pdf,2,0.3002
20,vector_only,5,Quais unidades da ANTT participam das manifestações pós-entrega do relatório?,200,MÉDIA,2.2097690105438232,0.009829282760620117,2.199939727783203,qwen2.5:7b,5,,Fluxo Operacional CORODGEFOP – Medida Cautelar deContratação de Verificadores.pdf,4,0.7025
20,hybrid,5,Quais unidades da ANTT participam das manifestações pós-entrega do relatório?,200,INSUFICIENTE,1.8422458171844482,0.0,1.841649055480957,qwen2.5:7b,5,,Fluxo Operacional CORODGEFOP – Medida Cautelar deContratação de Verificadores.pdf,5,0.5841
20,hybrid_rerank,5,Quais unidades da ANTT participam das manifestações pós-entrega do relatório?,200,INSUFICIENTE,2.607882022857666,0.03270292282104492,2.575179100036621,qwen2.5:7b,5,,Fluxo Operacional CORODGEFOP – Medida Cautelar deContratação de Verificadores.pdf,5,0.3657
